num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,cdd7_py_sketch_generator,cdd7ce75,qwen2.5-coder:32b_57d5_psg_batch,failure,160.31,14237,9810,4427,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754329285
2,e31d_py_sketch_generator,e31dac57,qwen2.5-coder:32b_57d5_psg_batch,failure,126.8,14129,9810,4319,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754329453
3,2532_py_sketch_generator,2532af42,qwen2.5-coder:32b_57d5_psg_batch,failure,128.47,14185,9810,4375,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754329587
4,312d_py_sketch_generator,312df097,qwen2.5-coder:32b_57d5_psg_batch,failure,116.63,13753,9810,3943,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754329723
5,6f0a_py_sketch_generator,6f0a9c71,qwen2.5-coder:32b_57d5_psg_batch,success,115.41,13709,9810,3899,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754329848
6,4dad_py_sketch_generator,4dad7e9c,qwen2.5-coder:32b_57d5_psg_batch,success,102.58,11261,7762,3499,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754330001
7,1fec_py_sketch_generator,1fec515b,qwen2.5-coder:32b_57d5_psg_batch,failure,119.0,13841,9810,4031,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754330145
8,9b3c_py_sketch_generator,9b3c57f2,qwen2.5-coder:32b_57d5_psg_batch,failure,99.46,11149,7762,3387,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754330271
9,e654_py_sketch_generator,e654fb77,qwen2.5-coder:32b_57d5_psg_batch,success,68.14,8010,5714,2296,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754336376
10,c234_py_sketch_generator,c23407e3,qwen2.5-coder:32b_57d5_psg_batch,failure,125.69,14086,9810,4276,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754336485
11,6085_py_sketch_generator,6085fec9,qwen2.5-coder:32b_57d5_psg_batch,failure,124.92,14060,9810,4250,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754336619
12,dad1_py_sketch_generator,dad14789,qwen2.5-coder:32b_57d5_psg_batch,success,122.38,13967,9810,4157,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754336752
13,93b1_py_sketch_generator,93b1ba77,qwen2.5-coder:32b_57d5_psg_batch,failure,114.03,13659,9810,3849,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754336916
14,5c5f_py_sketch_generator,5c5fb4b9,qwen2.5-coder:32b_57d5_psg_batch,success,93.51,10927,7762,3165,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337038
15,f7d1_py_sketch_generator,f7d148ee,qwen2.5-coder:32b_57d5_psg_batch,success,171.85,15799,9810,5989,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337173
16,83d7_py_sketch_generator,83d7f518,qwen2.5-coder:32b_57d5_psg_batch,failure,126.14,14099,9810,4289,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337352
17,d0a7_py_sketch_generator,d0a7ba61,qwen2.5-coder:32b_57d5_psg_batch,failure,121.43,13931,9810,4121,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337486
18,3b73_py_sketch_generator,3b73a4c5,qwen2.5-coder:32b_57d5_psg_batch,failure,126.41,14112,9810,4302,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337615
19,e040_py_sketch_generator,e040a4ae,qwen2.5-coder:32b_57d5_psg_batch,failure,119.03,13843,9810,4033,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337748
20,eadb_py_sketch_generator,eadb81f5,qwen2.5-coder:32b_57d5_psg_batch,failure,126.37,14113,9810,4303,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754337875
21,0815_py_sketch_generator,0815f7a4,qwen2.5-coder:32b_57d5_psg_batch,failure,123.23,13997,9810,4187,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338009
22,124c_py_sketch_generator,124cb877,qwen2.5-coder:32b_57d5_psg_batch,failure,115.87,13726,9810,3916,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338140
23,1203_py_sketch_generator,1203ce74,qwen2.5-coder:32b_57d5_psg_batch,success,92.02,10871,7762,3109,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338264
24,3f84_py_sketch_generator,3f84b16f,qwen2.5-coder:32b_57d5_psg_batch,failure,169.48,15701,9810,5891,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338398
25,cd72_py_sketch_generator,cd720392,qwen2.5-coder:32b_57d5_psg_batch,failure,128.36,14185,9810,4375,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338575
26,2b5e_py_sketch_generator,2b5e2cde,qwen2.5-coder:32b_57d5_psg_batch,success,97.0,11056,7762,3294,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338711
27,844e_py_sketch_generator,844edcf2,qwen2.5-coder:32b_57d5_psg_batch,success,117.62,13790,9810,3980,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754338851
28,567d_py_sketch_generator,567d0eb1,qwen2.5-coder:32b_57d5_psg_batch,success,94.11,10948,7762,3186,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754339010
29,e8b4_py_sketch_generator,e8b4b31b,qwen2.5-coder:32b_57d5_psg_batch,failure,122.11,13955,9810,4145,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754339146
30,fefb_py_sketch_generator,fefb0e6d,qwen2.5-coder:32b_57d5_psg_batch,failure,231.35,17991,9810,8181,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754339275
31,3309_py_sketch_generator,33096ae3,qwen2.5-coder:32b_c8a6_psg_batch,failure,124.82,14094,9810,4284,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275660
32,a66d_py_sketch_generator,a66df864,qwen2.5-coder:32b_c8a6_psg_batch,success,93.91,10966,7762,3204,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275793
33,a9a3_py_sketch_generator,a9a3054a,qwen2.5-coder:32b_c8a6_psg_batch,success,119.47,13903,9810,4093,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275925
34,257a_py_sketch_generator,257addd3,qwen2.5-coder:32b_c8a6_psg_batch,success,42.08,5099,3666,1433,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276084
35,c828_py_sketch_generator,c828309a,qwen2.5-coder:32b_c8a6_psg_batch,failure,128.62,14243,9810,4433,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276163
36,6fcf_py_sketch_generator,6fcfa7c9,qwen2.5-coder:32b_c8a6_psg_batch,success,120.76,13952,9810,4142,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276300
37,c92d_py_sketch_generator,c92d280c,qwen2.5-coder:32b_c8a6_psg_batch,success,92.96,10924,7762,3162,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276460
38,5911_py_sketch_generator,59112c33,qwen2.5-coder:32b_c8a6_psg_batch,failure,127.33,14193,9810,4383,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282592
39,c753_py_sketch_generator,c75311bc,qwen2.5-coder:32b_c8a6_psg_batch,failure,120.12,13926,9810,4116,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282728
40,d3e2_py_sketch_generator,d3e24608,qwen2.5-coder:32b_c8a6_psg_batch,success,122.94,14004,9810,4194,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282856
41,3edd_py_sketch_generator,3edd7b90,qwen2.5-coder:32b_c8a6_psg_batch,failure,116.56,13792,9810,3982,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283017
42,805a_py_sketch_generator,805a4feb,qwen2.5-coder:32b_c8a6_psg_batch,success,67.45,8018,5714,2304,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283142
43,e041_py_sketch_generator,e041a468,qwen2.5-coder:32b_c8a6_psg_batch,success,115.69,13759,9810,3949,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283248
44,b0d1_py_sketch_generator,b0d126c8,qwen2.5-coder:32b_c8a6_psg_batch,success,96.53,11073,7762,3311,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283405
45,0c33_py_sketch_generator,0c33442e,qwen2.5-coder:32b_c8a6_psg_batch,failure,119.88,13918,9810,4108,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283540
46,d525_py_sketch_generator,d525ad38,qwen2.5-coder:32b_c8a6_psg_batch,failure,122.44,14008,9810,4198,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283668
